cnpj;nome_sistema;status_cvm;situacao;classe_atual;classe_anbima;sugestao_classe;confianca;liquidez_atual;cvm_conversao;cvm_pagto_resgate;cvm_tipo_dia;liquidez_sugerida;gestor;taxa_adm;ativo_canonico_id
09625909000100;Artesanal Multimercado FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - LIVRE;Multimercado;alta;2;1;2;DIAS ÚTEIS;3;;;a1819d9e-5388-45a2-a9bb-86f68ac9d3e1
37235773000167;BRADESCO OURO FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;6;5;0;DIAS ÚTEIS;5;;;dd43465f-2ecc-40a2-8f3a-39d1c463395d
33599991000120;BTG CRED CORP PLUS FIM CrPr;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - LIVRE;Multimercado;alta;31;59;60;DIAS CORRIDOS;119;;;d550b5b3-731e-4d0a-99bf-65a8a5c44924
37927641000104;BTG ECONOMIA REAL FEEDER I FIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;1;0;5;DIAS ÚTEIS;5;;;43115487-a9fc-4f59-8a4e-512fbbebeea4
36498594000150;BTG REF OURO FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;8;7;8;DIAS ÚTEIS;15;;;d357e043-e814-4c21-8d8f-a0e48596c3a7
36727910000118;BTG REF OURO USD FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;5;4;5;DIAS ÚTEIS;9;;;4e4b212f-d3bb-4ad4-8f30-134469ae5746
36499594000174;BTG SP 500 BRL FIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - LIVRE;Multimercado;alta;2;0;2;DIAS ÚTEIS;2;;;e7f2a957-e246-4842-9eb3-b5a18a44083b
28866524000189;CANVAS VECTOR FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - LIVRE;Multimercado;alta;11;10;10;DIAS CORRIDOS;20;;;cd94d709-f17d-4c8b-a789-437d12a839b7
30317454000151;DAHLIA TOTAL RETURN FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - LIVRE;Multimercado;alta;32;30;32;DIAS CORRIDOS;62;;;c19c8bc0-62f7-445f-8182-cd7a805fd162
17251743000137;EMPIRICA LOTUS FICFIM CrPr;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;999;999;999;DIAS ÚTEIS;1998;;;a3c863a5-e6f7-4735-b480-56a676ad4aaf
22652091000182;EMPIRICA LOTUS IPCA FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;999;999;999;DIAS CORRIDOS;1998;;;52bbfbdc-ffb0-4255-b6a7-a58ab25c7206
33736845000107;HASHDEX 100 NASDAQ CRYPTO INDEX FIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;6;1;6;DIAS ÚTEIS;7;;;2064f9e0-c9c6-4a90-b207-3a20aa37f466
33736873000116;HASHDEX 20 NASDAQ CRYPTO INDEX FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;6;1;6;DIAS ÚTEIS;7;;;7d571122-b4cd-479a-9994-5b978db31201
35088108000162;HASHDEX 40 NASDAQ CRYPTO INDEX FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;6;1;6;DIAS ÚTEIS;7;;;771b2f28-3a86-409f-8011-fdc880e534a6
36986672000165;HASHDEX BITCOIN FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;6;1;6;DIAS ÚTEIS;7;;;4d331a29-8951-4532-a864-0029535e19d7
47612274000103;HASHDEX CRYPTO DINÂMICO LB FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - ESTRATÉGIA ESPECÍFICA;Multimercado;alta;15;13;15;DIAS ÚTEIS;28;;;4b18048b-d16c-4d1d-9d4b-39a1ab57a87d
