cnpj;sufixo;classe_avere;chave_original
50764538000140;classeB;Alternativos;50.764.538/0001-40_classeB
50786035000176;;Alternativos;50.786.035/0001-76
50955280000160;;Multimercado;50.955.280/0001-60
51662749000135;;Multimercado;51.662.749/0001-35
51835937000118;;Internacional - Pós-fixado;51.835.937/0001-18
51931205000121;classeA;Alternativos;51.931.205/0001-21_classeA
52008635000139;;Alternativos;52.008.635/0001-39
52116227000109;;Multimercado;52.116.227/0001-09
52204330000100;;Alternativos;52.204.330/0001-00
52270237000196;;Alternativos;52.270.237/0001-96
53192577000109;;Multimercado;53.192.577/0001-09
54006013000105;;Multimercado;54.006.013/0001-05
54996629000162;;Caixa;54.996.629/0001-62
55054815000145;unica;FII-FIAgro;55.054.815/0001-45_unica
55780933000130;;Caixa;55.780.933/0001-30
56992610000173;unica;FII-FIAgro;56.992.610/0001-73_unica
57346685000140;;Multimercado;57.346.685/0001-40
58528770000191;;Renda Variável;58.528.770/0001-91
62770076000153;;Multimercado;62.770.076/0001-53
